,Date,Open,High,Low,Close,Adj Close,Volume,45 day SMA,30 day SMA,15 day SMA,10 day SMA,Yearly Min,Yearly Max,1 days old,2 days old,3 days old,4 days old,5 days old,Days to ER,RSI,MFI,MACD,45 day vel,30 day vel,15 day vel,10 day vel,5 day vel,2 day vel
0,2016-03-28,84.029999,84.360001,83.699997,84.220001,71.432426,7490400,,,,,,,,,,,,32,,,0.0,NaN,NaN,NaN,NaN,NaN,NaN
1,2016-03-29,83.66999799999999,84.610001,83.160004,84.529999,71.695351,9977900,,,,,,,84.220001,,,,,31,,,0.004194814814815118,NaN,NaN,NaN,NaN,NaN,0.3099980000000073
2,2016-03-30,85.029999,85.050003,84.0,84.519997,71.68689,10807000,,,,,,,84.529999,84.220001,,,,30,,,0.01065440801941577,NaN,NaN,NaN,NaN,NaN,-0.010002000000000066
3,2016-03-31,84.07,85.099998,83.589996,83.589996,70.898094,13896900,,,,,,,84.519997,84.529999,84.220001,,,29,,,0.005585834854707289,NaN,NaN,NaN,NaN,NaN,-0.9300010000000043
4,2016-04-01,82.400002,83.389999,82.389999,82.959999,70.363739,12235300,,,,,,,83.589996,84.519997,84.529999,84.220001,,28,,,-0.014980719856727932,NaN,NaN,NaN,NaN,-0.3460007000000005,-0.629997000000003
5,2016-04-04,83.059998,83.900002,82.779999,83.160004,70.533371,8050200,,,,,,,82.959999,83.589996,84.519997,84.529999,84.220001,25,,,-0.041442452795241586,NaN,NaN,NaN,NaN,-0.42999880000000135,0.20000500000000443
6,2016-04-05,82.610001,83.129997,81.989998,82.209999,69.72760799999999,10446800,,,,,,,83.160004,82.959999,83.589996,84.519997,84.529999,24,,,-0.08297302380113958,NaN,NaN,NaN,NaN,-0.5049988000000013,-0.9500050000000044
7,2016-04-06,82.690002,83.459999,82.300003,83.309998,70.660591,9320200,,,,,,,82.209999,83.160004,82.959999,83.589996,84.519997,23,,,-0.11669703825226484,NaN,NaN,NaN,NaN,-0.13099960000000124,1.0999989999999968
8,2016-04-07,82.760002,83.16999799999999,82.050003,82.370003,69.863327,8267100,,,,,,,83.309998,82.209999,83.160004,82.959999,83.589996,22,,,-0.15621409105509027,NaN,NaN,NaN,NaN,-0.10299980000000063,-0.9399949999999961
9,2016-04-08,83.300003,83.449997,82.849998,83.209999,70.575783,9376200,,,,83.40799949999999,,,82.370003,83.309998,82.209999,83.160004,82.959999,21,,,-0.18556769597460865,NaN,NaN,NaN,-0.20727255151515214,0.025999399999999187,0.8399959999999993
10,2016-04-11,83.33000200000001,84.239998,83.279999,83.32,70.669083,9925000,,,,83.31799939999999,,,83.209999,82.370003,83.309998,82.209999,83.160004,18,,,-0.2051007908610048,NaN,NaN,NaN,-0.15793909090909197,0.2120002999999997,0.1100009999999969
11,2016-04-12,83.690002,84.629997,83.370003,84.349998,71.542694,9986100,,,,83.2999993,,,83.32,83.209999,82.370003,83.309998,82.209999,17,,,-0.20304920373633153,NaN,NaN,NaN,-0.020848284848485426,0.30299970000000087,1.0299980000000062
12,2016-04-13,84.5,84.910004,84.040001,84.83000200000001,71.949814,9235700,,,,83.3309998,,,84.349998,83.32,83.209999,82.370003,83.309998,16,,,-0.18061815164775274,NaN,NaN,NaN,0.14393958787878827,0.6059997000000025,0.4800040000000081
13,2016-04-14,85.0,85.900002,84.760002,85.43,72.45871,10625800,,,,83.5150002,,,84.83000200000001,84.349998,83.32,83.209999,82.370003,15,,57.82925706097718,-0.1380587147872431,NaN,NaN,NaN,0.2756969212121222,0.5950004000000035,0.5999979999999994
14,2016-04-15,85.300003,85.660004,84.779999,84.970001,72.06855,11280200,,,83.7986664,83.7160004,,,85.43,84.83000200000001,84.349998,83.32,83.209999,14,54.36555224039563,54.02954055649809,-0.09102434350103111,NaN,NaN,0.059214414285714355,0.3180605212121219,0.4380004000000014,-0.4599990000000105
15,2016-04-18,84.970001,85.860001,83.860001,85.779999,72.755569,9097000,,,83.90266626666669,83.9779999,,,84.970001,85.43,84.83000200000001,84.349998,83.32,11,56.87576720378275,54.320749180026375,-0.03248233968835587,NaN,NaN,0.12078586071428583,0.39357583636363747,0.30000009999999977,0.8099980000000073
16,2016-04-19,85.849998,86.309998,85.220001,86.209999,73.120285,10354500,,,84.01466626666667,84.37799989999999,,,85.779999,84.970001,85.43,84.83000200000001,84.349998,10,58.88533587170251,54.22880625387043,0.0360964212679659,NaN,NaN,0.19639297142857157,0.3974545151515159,0.3109992999999975,0.4299999999999926
17,2016-04-20,86.230003,87.440002,85.970001,86.800003,73.62069699999999,15247100,,,84.16666666666667,84.7270004,,,86.209999,85.779999,84.970001,85.43,84.83000200000001,9,67.50265213809702,64.48144334323956,0.11527252533822357,NaN,NaN,0.28046441071428607,0.4583636484848492,0.3980003999999994,0.5900040000000075
18,2016-04-21,86.589996,87.839996,86.57,86.790001,73.61222099999999,12075300,,,84.38000033333334,85.1690002,,,86.800003,86.209999,85.779999,84.970001,85.43,8,72.39773860532429,72.95727462148152,0.19654233752785893,NaN,NaN,0.3295714642857148,0.4137577939393946,0.46600040000000154,-0.010002000000000066
19,2016-04-22,87.239998,87.639999,86.82,87.529999,74.23984499999999,9150800,,,84.68466700000002,85.60100019999999,,,86.790001,86.800003,86.209999,85.779999,84.970001,7,74.0374199071311,73.24104010455817,0.2844295621731959,NaN,NaN,0.3677499642857148,0.4119394666666672,0.40800020000000076,0.7399979999999999
20,2016-04-25,87.089996,87.400002,86.349998,87.33000200000001,74.070206,8076400,,,84.96266686666668,86.0020004,,,87.529999,86.790001,86.800003,86.209999,85.779999,4,80.6954828013046,74.20192995672204,0.36850249552805514,NaN,NaN,0.390321539285715,0.35418197575757604,0.2970002000000022,-0.1999969999999962
21,2016-04-26,87.75,87.940002,87.059998,87.629997,74.324669,9425900,,,85.32400006666668,86.3300003,,,87.33000200000001,87.529999,86.790001,86.800003,86.209999,3,78.64729179397672,74.31127738124368,0.44899737972605736,NaN,NaN,0.37835713928571496,0.33284829696969703,0.21999890000000022,0.29999499999999557
22,2016-04-27,87.949997,88.720001,87.33000200000001,88.459999,75.028633,10463500,,,85.66733346666668,86.693,,,87.629997,87.33000200000001,87.529999,86.790001,86.800003,2,90.98241851289544,80.3184696764438,0.5332379158114309,NaN,NaN,0.39921419642857175,0.34903015757575756,0.34399939999999846,0.8300019999999932
23,2016-04-28,87.860001,88.779999,87.5,88.029999,74.66394,11276200,,,86.04466653333336,86.95299989999998,,,88.459999,87.629997,87.33000200000001,87.529999,86.790001,1,84.33064448271142,72.76678613134094,0.6083763049412518,NaN,NaN,0.3640713928571432,0.33775737575757614,0.2129996999999989,-0.4299999999999926
24,2016-04-29,88.68,89.779999,87.739998,88.400002,74.97776800000001,17885900,,,86.39066673333336,87.29599999999998,,,88.029999,88.459999,87.629997,87.33000200000001,87.529999,91,84.8902790956726,74.30764453394146,0.6774910959680449,NaN,NaN,0.3419642785714287,0.2844848363636363,0.25400019999999873,0.370002999999997
25,2016-05-02,88.239998,89.480003,88.08000200000001,89.129997,75.59691600000001,10273700,,,86.7779998666667,87.63099979999998,,,88.400002,88.029999,88.459999,87.629997,87.33000200000001,88,84.24082600498178,74.44788484326251,0.7475413063272222,NaN,NaN,0.32271419999999995,0.2834543030303031,0.29400030000000044,0.7299950000000024
26,2016-05-03,88.400002,88.629997,87.360001,88.110001,74.731804,10137400,,,87.02866673333338,87.82099999999998,,,89.129997,88.400002,88.029999,88.459999,87.629997,87,71.80875332188799,68.06672593791652,0.7989995170780055,NaN,NaN,0.2866427464285711,0.21484825454545395,0.04000020000000007,-1.0199960000000061
27,2016-05-04,88.300003,88.739998,87.599998,87.940002,74.587616,10601100,,,87.23600006666672,87.93499989999998,,,88.110001,89.129997,88.400002,88.029999,88.459999,86,67.70122668514972,68.13017904721316,0.8319855813748718,NaN,NaN,0.2466071357142857,0.1532728060606058,-0.04699949999999973,-0.16999899999999002
28,2016-05-05,88.760002,88.970001,87.620003,88.040001,74.67242399999999,8721100,,,87.41000013333338,88.05999989999998,,,87.940002,88.110001,89.129997,88.400002,88.029999,85,72.8086277546429,74.8557419552987,0.8511212768169731,NaN,NaN,0.21510715714285733,0.08266687878787869,-0.190999699999999,0.09999899999999684
29,2016-05-06,87.459999,88.68,87.459999,88.510002,75.071053,7968400,,85.72233329999999,87.64600020000006,88.15800019999998,,,88.040001,87.940002,88.110001,89.129997,88.400002,84,71.36173588944041,75.25885671223257,0.8649927199353252,NaN,0.2214972691879868,0.17289294285714282,0.07187905454545439,-0.13099899999999992,0.47000099999999634
30,2016-05-09,88.599998,88.760002,87.230003,88.57,75.121941,11159500,,85.86733326666666,87.83200026666671,88.28199999999998,,,88.510002,88.040001,87.940002,88.110001,89.129997,81,69.60150979107979,68.08975088837076,0.873677862653246,NaN,0.22950840000000008,0.14267861785714264,0.03915189090909061,0.14899979999999857,0.05999799999999311
31,2016-05-10,88.900002,90.0,88.82,89.989998,76.32634,12509100,,86.04933323333333,88.08400020000005,88.51800009999998,,,88.57,88.510002,88.040001,87.940002,88.110001,80,73.28492825729506,67.60169317111217,0.895881237267955,NaN,0.2468832420467187,0.15028566785714245,0.08884855151515134,0.46299909999999755,1.4199980000000068
32,2016-05-11,89.160004,89.68,88.720001,88.809998,75.958572,11660200,,86.19233326666668,88.21799986666672,88.55299999999997,,,89.989998,88.57,88.510002,88.040001,87.940002,79,69.01680636444145,59.67939267633894,0.9174842219526577,NaN,0.2541468360400445,0.131749978571428,0.10090896969696883,0.3019989999999979,-1.1800000000000068
33,2016-05-12,89.800003,89.93,89.150002,89.66999799999999,76.694122,10720500,,86.395,88.4099996666667,88.71699989999998,,,88.809998,89.989998,88.57,88.510002,88.040001,78,69.54952121823582,60.17380059959148,0.9472225682317732,NaN,0.25863622914349277,0.12724996428571358,0.12696939999999896,0.2559989999999985,0.8599999999999994
34,2016-05-13,89.279999,89.660004,88.510002,88.660004,75.830276,9721100,,86.58500016666666,88.48533333333337,88.74300009999997,,,89.66999799999999,88.809998,89.989998,88.57,88.510002,77,62.623714655721926,59.44266357089063,0.9645599980568964,NaN,0.2495594961067853,0.10835719642857085,0.10272733939393856,-0.013999199999999235,-1.0099939999999918
