STO_xtn_net_proceeds,STO_ask_fee%,STO_offer_strike_delta%,Closed_xtn_Profit$,Closed_xtn_Profit%,20Bin,BinNum,STO_xtn_net_proceeds,Trade Count,Net per Trade,Trade Count,Cut off label at Bin 10 – 50% profit on trade.,
-17185,6,,,,-74,-74,-17185,6000,'-28,642',6,,
-6570,2,,,,-75,-75,-6570,2000,'-32,850',2,,
-44700,14,,,,-76,-76,-44700,14000,'-31,929',14,,
-10300,4,,,,-77,-77,-10300,4000,'-25,750',4,,
-23185,8,,,,-78,-78,-23185,8000,'-28,981',8,,
-33480,11,,,,-79,-79,-33480,11000,'-30,436',11,,
-15145,5,,,,-80,-80,-15145,5000,'-30,290',5,,
-13890,4,,,,-81,-81,-13890,4000,'-34,725',4,,
-10715,4,,,,-82,-82,-10715,4000,'-26,788',4,,
-5660,2,,,,-83,-83,-5660,2000,'-28,300',2,,
-4590,2,,,,-84,-84,-4590,2000,'-22,950',2,,
-2470,1,,,,-85,-85,-2470,1000,'-24,700',1,,
-15090,5,,,,-86,-86,-15090,5000,'-30,180',5,,
-14140,4,,,,-87,-87,-14140,4000,'-35,350',4,,
-11740,4,,,,-88,-88,-11740,4000,'-29,350',4,,
-2440,1,,,,-90,-90,-2440,1000,'-24,400',1,,
-11500,4,,,,-91,-91,-11500,4000,'-28,750',4,,
-9900,3,,,,-92,-92,-9900,3000,'-33,000',3,,
-13965,4,,,,-93,-93,-13965,4000,'-34,913',4,,
-10405,4,,,,-94,-94,-10405,4000,'-26,013',4,,
-5795,2,,,,-95,-95,-5795,2000,'-28,975',2,,
-7850,2,,,,-96,-96,-7850,2000,'-39,250',2,,
-13250,4,,,,-97,-97,-13250,4000,'-33,125',4,,
-10760,3,,,,-98,-98,-10760,3000,'-35,867',3,,
-4135,1,,,,-99,-99,-4135,1000,'-41,350',1,,
-9245,3,,,,-100,-100,-9245,3000,'-30,817',3,,
-3730,1,,,,-101,-101,-3730,1000,'-37,300',1,,
-6840,2,,,,-102,-102,-6840,2000,'-34,200',2,,
-6415,2,,,,-103,-103,-6415,2000,'-32,075',2,,
-6285,2,,,,-104,-104,-6285,2000,'-31,425',2,,
-9070,3,,,,-105,-105,-9070,3000,'-30,233',3,,
-5820,2,,,,-106,-106,-5820,2000,'-29,100',2,,
-2645,1,,,,-107,-107,-2645,1000,'-26,450',1,,
-7030,2,,,,-109,-109,-7030,2000,'-35,150',2,,
-2975,1,,,,-111,-111,-2975,1000,'-29,750',1,,
-3375,1,,,,-112,-112,-3375,1000,'-33,750',1,,
-10980,3,,,,-113,-113,-10980,3000,'-36,600',3,,
-13085,4,,,,-115,-115,-13085,4000,'-32,713',4,,
-3845,1,,,,-117,-117,-3845,1000,'-38,450',1,,
-3000,1,,,,-118,-118,-3000,1000,'-30,000',1,,
-3825,1,,,,-119,-119,-3825,1000,'-38,250',1,,
-3010,1,,,,-120,-120,-3010,1000,'-30,100',1,,
-4265,1,,,,-121,-121,-4265,1000,'-42,650',1,,
-8110,2,,,,-122,-122,-8110,2000,'-40,550',2,,
-3465,1,,,,-127,-127,-3465,1000,'-34,650',1,,
-3475,1,,,,-132,-132,-3475,1000,'-34,750',1,,
-6935,2,,,,-134,-134,-6935,2000,'-34,675',2,,
-3485,1,,,,-141,-141,-3485,1000,'-34,850',1,,
-3955,1,,,,-154,-154,-3955,1000,'-39,550',1,,
-3970,1,,,,-159,-159,-3970,1000,'-39,700',1,,
98900,7537,,,,Grand Sum,,98900,7537000,131,7537,,
