Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,84.029999,84.360001,83.699997,84.220001,71.432426,7490400
2016-03-29,83.669998,84.610001,83.160004,84.529999,71.695351,9977900
2016-03-30,85.029999,85.050003,84,84.519997,71.68689,10807000
2016-03-31,84.07,85.099998,83.589996,83.589996,70.898094,13896900
2016-04-01,82.400002,83.389999,82.389999,82.959999,70.363739,12235300
2016-04-04,83.059998,83.900002,82.779999,83.160004,70.533371,8050200
2016-04-05,82.610001,83.129997,81.989998,82.209999,69.727608,10446800
2016-04-06,82.690002,83.459999,82.300003,83.309998,70.660591,9320200
2016-04-07,82.760002,83.169998,82.050003,82.370003,69.863327,8267100
2016-04-08,83.300003,83.449997,82.849998,83.209999,70.575783,9376200
2016-04-11,83.330002,84.239998,83.279999,83.32,70.669083,9925000
2016-04-12,83.690002,84.629997,83.370003,84.349998,71.542694,9986100
2016-04-13,84.5,84.910004,84.040001,84.830002,71.949814,9235700
2016-04-14,85,85.900002,84.760002,85.43,72.45871,10625800
2016-04-15,85.300003,85.660004,84.779999,84.970001,72.06855,11280200
2016-04-18,84.970001,85.860001,83.860001,85.779999,72.755569,9097000
2016-04-19,85.849998,86.309998,85.220001,86.209999,73.120285,10354500
2016-04-20,86.230003,87.440002,85.970001,86.800003,73.620697,15247100
2016-04-21,86.589996,87.839996,86.57,86.790001,73.612221,12075300
2016-04-22,87.239998,87.639999,86.82,87.529999,74.239845,9150800
2016-04-25,87.089996,87.400002,86.349998,87.330002,74.070206,8076400
2016-04-26,87.75,87.940002,87.059998,87.629997,74.324669,9425900
2016-04-27,87.949997,88.720001,87.330002,88.459999,75.028633,10463500
2016-04-28,87.860001,88.779999,87.5,88.029999,74.66394,11276200
2016-04-29,88.68,89.779999,87.739998,88.400002,74.977768,17885900
2016-05-02,88.239998,89.480003,88.080002,89.129997,75.596916,10273700
2016-05-03,88.400002,88.629997,87.360001,88.110001,74.731804,10137400
2016-05-04,88.300003,88.739998,87.599998,87.940002,74.587616,10601100
2016-05-05,88.760002,88.970001,87.620003,88.040001,74.672424,8721100
2016-05-06,87.459999,88.68,87.459999,88.510002,75.071053,7968400
2016-05-09,88.599998,88.760002,87.230003,88.57,75.121941,11159500
2016-05-10,88.900002,90,88.82,89.989998,76.32634,12509100
2016-05-11,89.160004,89.68,88.720001,88.809998,75.958572,11660200
2016-05-12,89.800003,89.93,89.150002,89.669998,76.694122,10720500
2016-05-13,89.279999,89.660004,88.510002,88.660004,75.830276,9721100
2016-05-16,89.199997,89.669998,89,89.57,76.608582,8638700
2016-05-17,89.269997,89.910004,89.160004,89.529999,76.574379,9835600
2016-05-18,89.800003,90,88.650002,89.349998,76.420425,9680300
2016-05-19,88.610001,90.160004,88.449997,90.110001,77.07045,14397900
2016-05-20,90.389999,90.400002,89.379997,89.739998,76.753983,13191900
2016-05-23,89,89.900002,88.82,89.599998,76.634247,11766100
2016-05-24,89.889999,90.400002,89.550003,89.669998,76.694122,10056600
2016-05-25,89.849998,90.370003,89.589996,90.260002,77.198738,9578400
2016-05-26,90.25,90.459999,89.269997,89.800003,76.805313,7867900
2016-05-27,89.400002,90.050003,89.32,90.010002,76.984932,7505900
2016-05-31,90,90.199997,88.730003,89.019997,76.138168,13178800
2016-06-01,88.43,89.449997,88.129997,89.239998,76.32634,7994800
2016-06-02,88.209999,88.529999,87.610001,88.529999,75.719078,9837500
2016-06-03,88.440002,88.830002,88.029999,88.370003,75.58223,9367100
2016-06-06,88.870003,89.5,88.690002,89.339996,76.411865,8573000
2016-06-07,89.75,90.919998,89.709999,90.709999,77.583633,12889100
2016-06-08,91.029999,91.300003,90.529999,90.790001,77.652046,9983000
2016-06-09,90.18,91.029999,90.110001,90.669998,77.549408,8974300
2016-06-10,90.400002,90.919998,89.779999,89.980003,76.959274,10353800
2016-06-13,89.919998,91.43,89.699997,90.589996,77.480995,11370000
2016-06-14,90.449997,90.870003,89.849998,90.43,77.344139,10161000
2016-06-15,90.230003,90.900002,90,90.160004,77.113213,10655800
2016-06-16,89.699997,91.389999,89.110001,91.220001,78.019821,12824800
2016-06-17,91.489998,91.589996,90.190002,90.720001,77.592171,17483200
2016-06-20,91.290001,91.589996,91.07,91.120003,77.93428,9388500
2016-06-21,90.720001,91.639999,90.25,91.529999,78.284981,8557500
2016-06-22,91.839996,91.93,91.010002,91.169998,77.977066,8785400
2016-06-23,91.93,92.07,91.190002,91.800003,78.5159,9464500
2016-06-24,89.879997,90.800003,89.150002,89.389999,76.454636,20010500
2016-06-27,88.900002,89.099998,88.110001,88.860001,76.00132,14169400
2016-06-28,89.730003,90.93,89.519997,90.910004,77.754684,13254300
2016-06-29,91.410004,92.699997,91.120003,92.459999,79.080383,13920600
2016-06-30,92.330002,93.830002,92.300003,93.739998,80.175171,14073700
2016-07-01,93.360001,93.980003,93.07,93.839996,80.260674,9946300
2016-07-05,93.120003,93.599998,92.25,93.019997,79.559349,10744100
2016-07-06,93.349998,94.120003,92.440002,94.089996,80.474518,13144400
2016-07-07,94.339996,94.489998,92.349998,92.959999,79.508041,12240700
2016-07-08,93.389999,93.779999,92.919998,93.540001,80.004105,9807600
2016-07-11,93.75,94.410004,93.650002,93.889999,80.303459,8335700
2016-07-12,94.669998,94.949997,94.089996,94.949997,81.210052,9870800
2016-07-13,94.650002,94.919998,94.110001,94.879997,81.1502,9458200
2016-07-14,95.050003,95.529999,94.620003,94.949997,81.210052,9293500
2016-07-15,95.440002,95.550003,94.639999,95.120003,81.355484,10334500
2016-07-18,94.919998,95.150002,94.400002,94.82,81.098877,9865900
2016-07-19,94.760002,94.940002,94.199997,94.470001,80.799522,5901800
2016-07-20,94.25,94.419998,93.800003,93.93,80.337669,7383800
2016-07-21,93.889999,94.260002,93.459999,93.849998,80.269241,6854600
2016-07-22,94.110001,94.290001,93.720001,94.010002,80.40609,7139700
2016-07-25,93.470001,93.620003,91.760002,92.199997,78.858009,10845900
2016-07-26,91.629997,92.029999,91.110001,91.529999,78.284981,12143500
2016-07-27,91.510002,91.809998,90.629997,90.910004,77.754684,10037900
2016-07-28,90.540001,90.730003,89.610001,90.199997,77.147408,12439200
2016-07-29,87.610001,89.010002,86.120003,88.949997,76.078316,23928100
