,stock_price_at_STO_offer,STO_strike,STO_days_long,STO_offer_ARR,stock_price_at_open,STO_ask_fee%,STO_offer_strike_delta%,STO_open_strike_delta%,Closed_xtn_Profit$,Closed_xtn_Profit%,45 day SMA,30 day SMA,15 day SMA,10 day SMA,Yearly Min,Yearly Max,1 days old,2 days old,3 days old,4 days old,5 days old,45 day vel,30 day vel,15 day vel,10 day vel,5 day vel,2 day vel,ER - Expiry,label
0,81.82,80.0,11,0.786760294215684,82.1,0.023710584209239795,-0.022243950134441377,-0.025578562728379956,-610.0000000000011,-0.31606217616580373,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
1,81.81,80.0,11,0.784828482848285,82.1,0.023652365236523653,-0.02212443466568882,-0.025578562728379956,-615.0000000000007,-0.3194805194805198,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
2,81.82,80.5,11,0.618458478700473,82.1,0.01863847470056221,-0.016132974822781632,-0.019488428745432333,-525.0000000000011,-0.3465346534653473,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
3,81.81,80.5,11,0.6083941727506079,82.1,0.018335166850018333,-0.016012712382349373,-0.019488428745432333,-550.0000000000011,-0.36912751677852423,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
4,82.1,80.5,11,0.7012235632820288,82.14,0.02113276492082826,-0.019488428745432333,-0.019965911857803758,-315.0000000000009,-0.1826086956521744,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
5,81.82,81.0,11,0.458267594053466,82.1,0.013810804204351015,-0.010021999511121893,-0.013398294762484707,-420.00000000000114,-0.375000000000001,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
6,81.81,81.0,11,0.448183707259615,82.1,0.013506906246180173,-0.009900990099009929,-0.013398294762484707,-445.00000000000114,-0.406392694063928,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
7,82.1,81.0,11,0.52945410253571,82.14,0.015956151035322778,-0.013398294762484707,-0.013878743608473345,-240.0000000000009,-0.1846153846153853,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
8,81.82,81.5,11,0.32240950201106605,82.1,0.00971645074553899,-0.003911024199462151,-0.007308160779537081,-255.00000000000114,-0.3248407643312116,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
9,81.81,81.5,11,0.312309008678646,82.1,0.009412052316342746,-0.0037892678156704837,-0.007308160779537081,-280.00000000000114,-0.3684210526315804,81.90444475555546,81.8946673,81.6906676666667,81.19700169999992,80.489998,95.120003,81.260002,81.400002,81.730003,81.110001,80.690002,-0.00970615019762845,-0.026811951279199064,-0.12396405714285728,0.05593948484848422,0.06100010000000111,0.39000000000000057,80,0
