,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds
13,81.94,1.49,Mid,2017-05-05 15:30:00,80.5,2017-05-12 16:00:00,7,0.94816764880226,-1.36536141427525,-1.44,ClosedCalled,10,C,,,,,,82.01,1.49,10,1480,2017-05-05 16:00:00,0.947358336091417,-1.43051108749805,-1.51000000000001,82.53,,,,2017-05-12 16:00:00,,,-2.03,10,-2040,-560.000000000001
14,81.82,1.13,Mid,2017-05-01 11:30:00,81,2017-05-12 16:00:00,11,0.458267594053466,-0.375779427123839,-0.819999999999993,ClosedCalled,10,C,,,,,,82.1,1.13,10,1120,2017-05-01 15:30:00,0.456704683866682,-0.502375152253347,-1.09999999999999,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,-420.000000000001
15,81.81,1.105,Mid,2017-05-01 13:30:00,81,2017-05-12 16:00:00,11,0.448183707259615,-0.363028802880289,-0.810000000000002,ClosedCalled,10,C,,,,,,82.1,1.105,10,1095,2017-05-01 15:30:00,0.446600597940427,-0.491260657734468,-1.09999999999999,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,-445.000000000001
16,82.1,1.31,Mid,2017-05-01 15:30:00,81,2017-05-12 16:00:00,11,0.52945410253571,-0.582399512789278,-1.09999999999999,ClosedCalled,10,C,,,,,,82.14,1.31,10,1300,2017-05-01 16:00:00,0.529196272439516,-0.603283750581048,-1.14,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,-240.000000000001
17,81.92,1.15,Mid,2017-05-02 15:30:00,81,2017-05-12 16:00:00,10,0.51239013671875,-0.471398925781251,-0.920000000000002,ClosedCalled,10,C,,,,,,82.04,1.15,10,1140,2017-05-02 16:00:00,0.511640663091175,-0.532106289614825,-1.04000000000001,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,-400.000000000001
18,82.58,1.685,Mid,2017-05-03 11:30:00,81,2017-05-12 16:00:00,9,0.827514060439708,-1.30747221549474,-1.58,ClosedCalled,10,C,,,,,,82.87,1.685,10,1675,2017-05-03 15:30:00,0.824618210584181,-1.54203605379242,-1.87,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,134.999999999999
19,82.57,1.68,Mid,2017-05-03 13:30:00,81,2017-05-12 16:00:00,9,0.825158451414961,-1.29549876872148,-1.56999999999999,ClosedCalled,10,C,,,,,,82.87,1.68,10,1670,2017-05-03 15:30:00,0.822171272273842,-1.53746027915209,-1.87,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,129.999999999999
20,81.53,0.865,Mid,2017-05-04 13:30:00,81,2017-05-12 16:00:00,8,0.484062614988348,-0.256553185943825,-0.530000000000001,ClosedCalled,10,C,,,,,,81.72,0.865,10,855,2017-05-04 15:30:00,0.482937163485071,-0.347714757709251,-0.719999999999999,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,-685.000000000001
21,81.87,1.02,Mid,2017-05-05 11:30:00,81,2017-05-12 16:00:00,7,0.649636182798513,-0.56518347903471,-0.870000000000004,ClosedCalled,10,C,,,,,,81.94,1.02,10,1010,2017-05-05 15:30:00,0.649081209247184,-0.610136336692352,-0.939999999999998,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,-530.000000000001
22,81.82,0.97,Mid,2017-05-05 13:30:00,81,2017-05-12 16:00:00,7,0.618168802598037,-0.506898418130387,-0.819999999999993,ClosedCalled,10,C,,,,,,81.94,0.97,10,960,2017-05-05 15:30:00,0.617263502911538,-0.580227692736844,-0.939999999999998,82.53,,,,2017-05-12 16:00:00,,,-1.53,10,-1540,-580.000000000001
