Unnamed: 0,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds
4977,4977,79.77,1.78,Mid,2017-09-22 13:30:00,78.5,2017-10-20 16:00:00,28.0,0.29088092551800715,-0.369418775407868,-1.2699999999999958,ClosedCalled,10.0,C,,,,,,79.84,1.78,10.0,1770.0,2017-09-22 15:30:00,0.2906258946464357,-0.3894386988262249,-1.3400000000000034,83.09,,,,2017-10-20 16:00:00,,,-4.590000000000003,10.0,-4600.000000000005,-2830.000000000004
4978,4978,79.97,1.64,Mid,2017-09-18 11:30:00,79.0,2017-10-20 16:00:00,32.0,0.2339158434412905,-0.2268983681380515,-0.9699999999999988,ClosedCalled,10.0,C,,,,,,80.08,1.64,10.0,1630.0,2017-09-18 15:30:00,0.2335945304695305,-0.2522820929070925,-1.0799999999999983,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-2470.000000000004
4979,4979,79.95,1.63,Mid,2017-09-18 13:30:00,79.0,2017-10-20 16:00:00,32.0,0.2325476860537836,-0.22092030175109506,-0.9500000000000028,ClosedCalled,10.0,C,,,,,,80.08,1.63,10.0,1620.0,2017-09-18 15:30:00,0.2321701735764236,-0.25074378746253706,-1.0799999999999983,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-2480.000000000004
4980,4980,80.11,1.76,Mid,2017-09-19 13:30:00,79.0,2017-10-20 16:00:00,31.0,0.2586765777700823,-0.2871310013247912,-1.1099999999999994,ClosedCalled,10.0,C,,,,,,80.19,1.76,10.0,1750.0,2017-09-19 15:30:00,0.25841851409354394,-0.3075180317713168,-1.1899999999999975,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-2350.000000000004
4981,4981,80.46,1.98,Mid,2017-09-20 13:30:00,79.0,2017-10-20 16:00:00,30.0,0.29940343027591354,-0.4371290082028319,-1.4599999999999935,ClosedCalled,10.0,C,,,,,,80.51,1.98,10.0,1970.0,2017-09-20 16:00:00,0.299217488510744,-0.451818407651225,-1.5100000000000051,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-2130.000000000004
4982,4982,80.46,1.97,Mid,2017-09-20 15:30:00,79.0,2017-10-20 16:00:00,30.0,0.29789129173916645,-0.4349212859391812,-1.4599999999999935,ClosedCalled,10.0,C,,,,,,80.51,1.97,10.0,1960.0,2017-09-20 16:00:00,0.2977062890738211,-0.4495364965014713,-1.5100000000000051,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-2140.000000000004
4983,4983,79.77,1.41,Mid,2017-09-22 13:30:00,79.0,2017-10-20 16:00:00,28.0,0.2304169129103315,-0.17742102294095433,-0.769999999999996,ClosedCalled,10.0,C,,,,,,79.84,1.41,10.0,1400.0,2017-09-22 15:30:00,0.23021489407386198,-0.19338051102204487,-0.8400000000000034,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-2700.000000000004
4984,4984,80.6,2.025,Mid,2017-09-25 11:30:00,79.0,2017-10-20 16:00:00,25.0,0.3668114143920596,-0.5868982630272933,-1.5999999999999943,ClosedCalled,10.0,C,,,,,,80.86,2.025,10.0,2015.0,2017-09-25 13:30:00,0.3656319564679693,-0.6800754390304227,-1.8599999999999997,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-2085.000000000004
4985,4985,80.86,2.24,Mid,2017-09-25 13:30:00,79.0,2017-10-20 16:00:00,25.0,0.40445213950037107,-0.7522809794706898,-1.8599999999999997,ClosedCalled,10.0,C,,,,,,80.92,2.24,10.0,2230.0000000000005,2017-09-25 15:30:00,0.4041522491349481,-0.7759723183391011,-1.9200000000000017,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-1870.0000000000034
4986,4986,80.77,2.19,Mid,2017-09-26 11:30:00,79.0,2017-10-20 16:00:00,24.0,0.4123591680079237,-0.7298757273740233,-1.7699999999999958,ClosedCalled,10.0,C,,,,,,80.97,2.19,10.0,2180.0,2017-09-26 15:30:00,0.4113406199827097,-0.8103410213659376,-1.9699999999999989,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-1920.0000000000039
4987,4987,80.8,2.2,Mid,2017-09-26 13:30:00,79.0,2017-10-20 16:00:00,24.0,0.4140882838283829,-0.7453589108910881,-1.7999999999999972,ClosedCalled,10.0,C,,,,,,80.97,2.2,10.0,2190.0000000000005,2017-09-26 15:30:00,0.4132188876538636,-0.8140412086781108,-1.9699999999999989,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-1910.0000000000034
4988,4988,80.84,2.22,Mid,2017-09-27 11:30:00,79.0,2017-10-20 16:00:00,23.0,0.435804487662156,-0.8018802572983685,-1.8400000000000036,ClosedCalled,10.0,C,,,,,,80.99,2.22,10.0,2209.9999999999995,2017-09-27 13:30:00,0.4349973426671033,-0.8656447119075333,-1.9899999999999949,83.09,,,,2017-10-20 16:00:00,,,-4.090000000000003,10.0,-4100.000000000005,-1890.0000000000039
