iter	Passed	Remaining
407	5532	8028
408	5549	8018
409	5568	8012
410	5587	8007
411	5602	7995
412	5617	7983
413	5636	7977
414	5650	7965
415	5666	7955
416	5683	7945
417	5696	7931
418	5707	7914
419	5721	7901
420	5732	7883
421	5743	7866
422	5753	7848
423	5771	7840
424	5787	7829
425	5798	7812
426	5809	7796
427	5823	7783
428	5835	7767
429	5846	7750
430	5857	7732
431	5868	7715
432	5878	7697
433	5889	7680
434	5900	7663
435	5911	7646
436	5922	7630
437	5939	7620
438	5954	7609
439	5967	7594
440	5979	7579
441	5991	7563
442	6002	7546
443	6013	7530
444	6024	7513
445	6035	7497
446	6046	7480
447	6059	7466
448	6070	7449
449	6081	7433
450	6094	7418
451	6113	7411
452	6132	7404
453	6149	7395
454	6161	7380
455	6193	7388
456	6209	7377
457	6225	7367
458	6241	7357
459	6258	7346
460	6275	7336
461	6292	7327
462	6311	7320
463	6327	7309
464	6342	7296
465	6366	7295
466	6383	7285
467	6410	7287
468	6429	7279
469	6448	7271
470	6465	7261
471	6481	7250
472	6504	7247
473	6517	7232
474	6531	7218
475	6543	7203
476	6560	7193
477	6576	7181
478	6596	7175
479	6608	7159
480	6627	7150
481	6643	7139
482	6659	7128
483	6677	7119
484	6695	7109
485	6714	7101
486	6732	7092
487	6749	7081
488	6765	7069
489	6782	7059
490	6797	7047
491	6813	7035
492	6828	7021
493	6845	7011
494	6865	7003
495	6886	6997
496	6903	6986
497	6917	6972
498	6929	6957
499	6940	6940
500	6951	6924
501	6962	6907
502	6974	6891
503	6985	6874
504	6996	6858
505	7007	6841
506	7019	6825
507	7030	6808
508	7041	6792
509	7059	6782
510	7072	6768
511	7083	6751
512	7095	6735
513	7106	6719
514	7118	6703
515	7129	6687
516	7140	6670
517	7151	6654
518	7163	6638
519	7174	6623
520	7186	6607
521	7197	6590
522	7208	6574
523	7219	6558
524	7233	6544
525	7246	6530
526	7258	6514
527	7269	6498
528	7281	6483
529	7292	6467
530	7303	6451
531	7316	6435
532	7328	6420
533	7339	6405
534	7356	6393
535	7370	6380
536	7387	6369
537	7405	6358
538	7418	6345
539	7436	6334
540	7451	6322
541	7465	6308
542	7479	6294
543	7494	6282
544	7508	6268
545	7523	6255
546	7536	6241
547	7548	6225
548	7559	6210
549	7571	6194
550	7583	6179
551	7596	6165
552	7610	6151
553	7622	6136
554	7633	6120
555	7644	6104
556	7654	6088
557	7665	6072
558	7676	6056
559	7687	6040
560	7698	6024
561	7708	6007
562	7719	5991
563	7730	5975
564	7741	5959
565	7755	5946
566	7768	5932
567	7779	5916
568	7791	5901
569	7802	5886
570	7814	5870
571	7824	5854
572	7835	5839
573	7846	5823
574	7857	5807
575	7868	5792
576	7879	5776
577	7891	5761
578	7903	5746
579	7914	5731
580	7931	5719
581	7944	5706
582	7956	5690
583	7967	5675
584	7978	5660
585	7990	5644
586	8001	5629
587	8012	5614
588	8023	5598
589	8035	5584
590	8046	5568
591	8062	5556
592	8078	5544
593	8094	5532
594	8113	5522
595	8128	5510
596	8141	5495
597	8165	5489
598	8180	5476
599	8198	5465
600	8213	5452
601	8227	5439
602	8242	5426
603	8256	5412
604	8273	5401
605	8290	5390
606	8304	5376
607	8319	5363
608	8347	5359
609	8364	5347
610	8380	5335
611	8395	5322
612	8411	5310
613	8428	5298
614	8444	5286
615	8465	5277
616	8478	5263
617	8490	5248
618	8502	5233
619	8529	5227
620	8545	5215
621	8560	5202
622	8571	5187
623	8584	5172
624	8596	5158
625	8608	5142
626	8619	5127
627	8629	5112
628	8645	5099
629	8663	5087
630	8675	5073
631	8686	5058
632	8697	5042
633	8708	5027
634	8719	5012
635	8730	4996
636	8741	4981
637	8752	4966
638	8764	4951
639	8775	4936
640	8786	4921
641	8798	4906
642	8812	4892
643	8830	4881
644	8842	4866
645	8854	4851
646	8866	4837
647	8877	4822
648	8889	4807
649	8900	4792
650	8911	4777
651	8922	4762
652	8934	4747
653	8945	4732
654	8957	4717
655	8968	4702
656	8979	4687
657	8990	4673
658	9006	4660
659	9018	4645
660	9029	4630
661	9041	4616
662	9052	4601
663	9063	4586
664	9073	4570
665	9084	4555
666	9095	4541
667	9106	4526
668	9117	4511
669	9128	4496
670	9140	4481
671	9151	4466
672	9162	4451
673	9173	4436
674	9186	4423
675	9204	4411
676	9219	4398
677	9232	4384
678	9245	4371
679	9258	4357
680	9270	4342
681	9281	4327
682	9294	4313
683	9304	4298
684	9315	4283
685	9326	4269
686	9338	4254
687	9351	4240
688	9367	4228
689	9378	4213
690	9389	4198
691	9401	4184
692	9412	4169
693	9423	4155
694	9434	4140
695	9446	4126
696	9457	4111
697	9469	4096
698	9480	4082
699	9492	4068
700	9503	4053
701	9514	4039
702	9532	4027
703	9544	4013
704	9556	3998
705	9567	3984
706	9578	3969
707	9589	3955
708	9600	3940
709	9612	3926
710	9622	3911
711	9634	3896
712	9644	3882
713	9655	3867
714	9666	3853
715	9677	3838
716	9688	3824
717	9703	3810
718	9719	3798
719	9730	3784
720	9742	3769
721	9754	3755
722	9765	3741
723	9777	3727
724	9787	3712
725	9799	3698
726	9810	3684
727	9822	3669
728	9833	3655
729	9844	3641
730	9855	3626
731	9867	3612
732	9883	3599
733	9896	3586
734	9909	3572
735	9920	3558
736	9931	3544
737	9942	3529
738	9953	3515
739	9964	3500
740	9974	3486
741	9985	3472
742	9996	3457
743	10007	3443
744	10019	3429
745	10030	3415
746	10041	3400
747	10053	3386
748	10066	3373
749	10081	3360
750	10092	3346
751	10103	3332
752	10114	3317
753	10125	3303
754	10136	3289
755	10146	3274
756	10157	3260
757	10168	3246
758	10178	3232
759	10189	3217
760	10200	3203
761	10211	3189
762	10222	3175
